lccn/sn89066901/1914-10-15,1,16,18,-2
lccn/sn89066901/1915-03-04,2,4,2,2
lccn/sn89066901/1915-05-20,1,6,8,-2
lccn/sn89066901/1919-04-03,1,1,2,-1
lccn/sn89066901/1920-12-02,1,9,10,-1
lccn/sn89066901/1917-03-01,1,2,5,-3
lccn/sn89066901/1917-09-27,2,12,4,8
lccn/sn89066901/1918-03-21,1,4,9,-5
lccn/sn86091092/1912-11-22,2,10,2,8
lccn/sn89066901/1922-03-09,2,5,3,2
lccn/sn89066901/1922-10-26,2,20,10,10
lccn/sn84026909/1871-02-01,1,0,0,0
lccn/sn84026897/1844-01-03,1,0,0,0
lccn/sn93067705/1898-12-13,2,4,0,4
lccn/sn93067760/1914-09-09,2,8,2,6
lccn/sn93067760/1914-10-14,2,13,6,7
lccn/sn93067760/1914-10-21,2,7,2,5
lccn/sn93067760/1914-12-02,1,3,5,-2
lccn/sn93067705/1899-05-16,1,0,0,0
lccn/sn93067951/1922-04-13,2,7,1,6
lccn/sn93067951/1922-06-01,2,7,1,6
lccn/sn83025799/1870-05-04,1,0,0,0
lccn/sn85034375/1921-05-27,1,2,3,-1
lccn/sn85034375/1921-07-15,2,10,6,4
lccn/sn85034375/1918-03-22,2,19,12,7
lccn/sn85034375/1906-10-13,2,18,7,11
lccn/sn85032490/1886-11-10,1,0,0,0
lccn/sn85032490/1887-11-01,2,7,2,5
lccn/sn85032490/1887-11-02,1,0,0,0
lccn/sn85032490/1887-11-03,1,0,0,0
lccn/sn85032490/1887-11-05,1,0,0,0
lccn/sn85032490/1887-11-08,2,8,0,8
lccn/sn85032490/1887-11-10,1,3,3,0
lccn/sn85032490/1887-11-11,2,13,3,10
lccn/sn85032490/1887-11-12,2,8,3,5
lccn/sn85032490/1887-06-01,1,6,7,-1
lccn/sn83030431/1917-03-25,2,4,3,1
lccn/sn84028140/1899-06-21,2,7,6,1
lccn/sn84028140/1899-12-30,1,0,0,0
lccn/sn84028140/1900-03-30,1,5,7,-2
lccn/sn86071158/1891-05-28,2,23,4,19
lccn/sn86071158/1896-02-23,1,0,0,0
lccn/sn88085012/1909-09-09,2,7,3,4
lccn/sn82015679/1892-11-29,2,13,2,11
lccn/sn84024283/1882-12-07,1,11,11,0
lccn/sn86063381/1916-03-23,2,20,4,16
